,Characters,Dialogue
0,Lor San Tekka,This will begin to make things right. I've traveled too far and seen too much to ignore the despair in the galaxy. Without the Jedi there can be no balance in the Force.
1,Poe Dameron ,Well because of you now we have a chance. The General's been after this for a long time.
2,Lor San Tekka,Oh the General?  To me she is royalty.
3,Poe Dameron ,Well she certainly is that. We got company. 
4,Lor San Tekka,You have to hide. You have to leave. Go.
5,Poe Dameron ,Come on BB-8 hurry!
6,Storm Trooper 6,Blast that X-Wing! Over there! Over there!
7,Poe Dameron ,I see them. You take this. It's safer with you than it is with me. You get as far away from here as you can. Do you hear me?  I'll come back for you. It will be all right.
8,Storm Trooper 6,Keep moving!
9,Storm Trooper 5,Stay here.
10,Kylo Ren,Look how old you've become.
11,Lor San Tekka,Something far worse has happened to you.
12,Kylo Ren,You know what I've come for.
13,Lor San Tekka,I know where you come from. Before you called yourself Kylo Ren.
14,Kylo Ren,The map to Skywalker. We know you found it. And now you're going to give it to the First Order.
15,Lor San Tekka,The First Order rose from the dark side. You did not.
16,Kylo Ren,I'll show you the dark side.
17,Lor San Tekka,You may try. But you cannot deny the truth that is your family.
18,Kylo Ren,You're so right.
19,Poe Dameron ,So who talks first? You talk first? I talk first?
20,Kylo Ren,The old man gave it to you.
21,Poe Dameron ,It's just very hard to understand you with all the...
22,Kylo Ren,Search him.
23,Poe Dameron ,...apparatus.
24,Storm Trooper,Nothing sir.
25,Kylo Ren,Put him on board.
26,Phasma,Sir the villagers?
27,Kylo Ren,Kill them all.
28,Phasma,On my command.  Fire.
29,Villager,Please no!
30,Storm Trooper,Nothing here. Go ahead!
31,Poe Dameron ,All right. All right!
32,Phasma,FN-2187. Submit your blaster for inspection.
33,Finn (FN-2187),Yes Captain.
34,Phasma,And who gave you permission to remove that helmet?
35,Finn (FN-2187),I'm sorry Captain.
36,Phasma,Report to my division at once.
37,Unkar,What you brought me today is worth... hmm... one quarter portion.
38,Rey,Shh. That's just Teedo. Wants you for parts. He has no respect for anyone. Your antenna's bent. Where do you come from? Classified really? Me too. Big secret. Niima Outpost is that way. Stay off Kelvin Ridge. Keep away from the Sinking Fields in the north. You'll drown in the sand. Don't follow me. Town is that way. No! In the morning you go. You're welcome.
39,Kylo Ren,I had no idea we had the best pilot in the Resistance on board. Comfortable?
40,Poe Dameron ,Not really.
41,Kylo Ren,I'm impressed. No one has been able to get out of you... what you did with the map.
42,Poe Dameron ,You might want to rethink your technique.
43,Kylo Ren,Where is it?
44,Poe Dameron ,The Resistance... will not be intimidated by you.
45,Kylo Ren,Where... is it? It's in a droid. A BB unit.
46,General Hux,Well then if it's on Jakku we'll soon have it.
47,Kylo Ren,I leave that to you.
48,Rey,Don't give up hope. He still might show up. Whoever it is you're waiting for. Classified. I know all about waiting. For my family. They'll be back. One day. Come on.
49,Unkar,These five pieces are worth... Let me see here... hmm... one half portion.
50,Rey,Last week they were a half portion each.
51,Unkar,What about the droid?
52,Rey,What about him?
53,Unkar,I'll pay for him. Sixty portions.
54,Rey,Actually... The droid's not for sale. Come on.
55,Unkar,Follow the girl and get that droid.
56,Finn (FN-2187),Ren wants the prisoner. Turn here. Listen carefully. If you do exactly as I say I can get you out of here.
57,Poe Dameron ,What?
58,Finn (FN-2187),This is a rescue. I'm helping you escape. Can you fly a TIE fighter?
59,Poe Dameron ,You're with the Resistance?
60,Finn (FN-2187),What? No no no. I'm breaking you out. Can you fly a TIE fighter?
61,Poe Dameron ,I can fly anything. Why? Why are you helping me?
62,Finn (FN-2187),Because it's the right thing to do.
63,Poe Dameron ,You need a pilot.
64,Finn (FN-2187),I need a pilot.
65,Poe Dameron ,We're gonna do this.
66,Finn (FN-2187),Yeah?
67,Finn (FN-2187),Okay. Stay calm. Stay calm.
68,Poe Dameron ,I am calm.
69,Finn (FN-2187),I'm talking to myself. Not yet. Okay go. This way.
70,Poe Dameron ,I've always wanted to fly one of these things. Can you shoot?
71,Finn (FN-2187),Blasters I can.
