,Characters,Dialogue,Movie
1,Lor San Tekka,This will begin to make things right. I've traveled too far and seen too much to ignore the despair in the galaxy. Without the Jedi there can be no balance in the Force.,The Force Awakens
3,Poe Dameron ,Well because of you now we have a chance. The General's been after this for a long time.,The Force Awakens
5,Lor San Tekka,Oh the General?  To me she is royalty.,The Force Awakens
7,Poe Dameron ,Well she certainly is that. We got company. ,The Force Awakens
9,Lor San Tekka,You have to hide. You have to leave. Go.,The Force Awakens
11,Poe Dameron ,Come on BB-8 hurry!,The Force Awakens
13,Poe Dameron ,I see them. You take this. It's safer with you than it is with me. You get as far away from here as you can. Do you hear me?  I'll come back for you. It will be all right.,The Force Awakens
15,Kylo Ren,Look how old you've become.,The Force Awakens
17,Lor San Tekka,Something far worse has happened to you.,The Force Awakens
19,Kylo Ren,You know what I've come for.,The Force Awakens
21,Lor San Tekka,I know where you come from. Before you called yourself Kylo Ren.,The Force Awakens
23,Kylo Ren,The map to Skywalker. We know you found it. And now you're going to give it to the First Order.,The Force Awakens
25,Lor San Tekka,The First Order rose from the dark side. You did not.,The Force Awakens
27,Kylo Ren,I'll show you the dark side.,The Force Awakens
29,Lor San Tekka,You may try. But you cannot deny the truth that is your family.,The Force Awakens
31,Kylo Ren,You're so right.,The Force Awakens
33,Poe Dameron ,So who talks first? You talk first? I talk first?,The Force Awakens
35,Kylo Ren,The old man gave it to you.,The Force Awakens
37,Poe Dameron ,It's just very hard to understand you with all the...,The Force Awakens
39,Kylo Ren,Search him.,The Force Awakens
41,Poe Dameron ,...apparatus.,The Force Awakens
43,Storm Trooper,Nothing sir.,The Force Awakens
45,Kylo Ren,Put him on board.,The Force Awakens
47,Phasma,Sir the villagers?,The Force Awakens
49,Kylo Ren,Kill them all.,The Force Awakens
51,Phasma,On my command.  Fire.,The Force Awakens
53,Villager,Please no!,The Force Awakens
55,Storm Trooper,Nothing here. Go ahead!,The Force Awakens
57,Poe Dameron ,All right. All right!,The Force Awakens
59,Phasma,FN-2187. Submit your blaster for inspection.,The Force Awakens
61,Phasma,And who gave you permission to remove that helmet?,The Force Awakens
63,Phasma,Report to my division at once.,The Force Awakens
65,Unkar,What you brought me today is worth... hmm... one quarter portion.,The Force Awakens
67,Rey,Shh. That's just Teedo. Wants you for parts. He has no respect for anyone. Your antenna's bent. Where do you come from? Classified really? Me too. Big secret. Niima Outpost is that way. Stay off Kelvin Ridge. Keep away from the Sinking Fields in the north. You'll drown in the sand. Don't follow me. Town is that way. No! In the morning you go. You're welcome.,The Force Awakens
69,Kylo Ren,I had no idea we had the best pilot in the Resistance on board. Comfortable?,The Force Awakens
71,Poe Dameron ,Not really.,The Force Awakens
73,Kylo Ren,I'm impressed. No one has been able to get out of you... what you did with the map.,The Force Awakens
75,Poe Dameron ,You might want to rethink your technique.,The Force Awakens
77,Kylo Ren,Where is it?,The Force Awakens
79,Poe Dameron ,The Resistance... will not be intimidated by you.,The Force Awakens
81,Kylo Ren,Where... is it? It's in a droid. A BB unit.,The Force Awakens
83,General Hux,Well then if it's on Jakku we'll soon have it.,The Force Awakens
85,Kylo Ren,I leave that to you.,The Force Awakens
87,Rey,Don't give up hope. He still might show up. Whoever it is you're waiting for. Classified. I know all about waiting. For my family. They'll be back. One day. Come on.,The Force Awakens
89,Unkar,These five pieces are worth... Let me see here... hmm... one half portion.,The Force Awakens
91,Rey,Last week they were a half portion each.,The Force Awakens
93,Unkar,What about the droid?,The Force Awakens
95,Rey,What about him?,The Force Awakens
97,Unkar,I'll pay for him. Sixty portions.,The Force Awakens
99,Rey,Actually... The droid's not for sale. Come on.,The Force Awakens
101,Unkar,Follow the girl and get that droid.,The Force Awakens
103,Poe Dameron ,What?,The Force Awakens
105,Poe Dameron ,You're with the Resistance?,The Force Awakens
107,Poe Dameron ,I can fly anything. Why? Why are you helping me?,The Force Awakens
109,Poe Dameron ,You need a pilot.,The Force Awakens
111,Poe Dameron ,We're gonna do this.,The Force Awakens
113,Poe Dameron ,I am calm.,The Force Awakens
115,Poe Dameron ,I've always wanted to fly one of these things. Can you shoot?,The Force Awakens
117,Poe Dameron ,Okay same principle. Use the toggle on the left... to switch between missiles cannons and mag pulse.  Use the sight on the right to aim. Triggers to fire.,The Force Awakens
119,Poe Dameron ,I can fix this.,The Force Awakens
121,Some Guy,We have an unsanctioned departure from bay two. ,The Force Awakens
