,Script,Characters,Dialogue,test_1
5,LYRA: Saw it's Lyra.It's happened. He's come for us. SAW: You know what to do.,LYRA, Saw it's Lyra.It's happened. He's come for us. SAW: You know what to do.,True
68,STORMTROOPER: Get out of the way. Move! Move! CASSIAN:Calm down.Calm down. We'll be all right.,STORMTROOPER, Get out of the way. Move! Move! CASSIAN:Calm down.Calm down. We'll be all right.,True
71,BODHI:Is that him?He looks kind of different than I imagined. MILITIA: (On your feet! It’s the pilot the defector) BODHI: Okay so you're-you're Saw Gerrera? Saw Gerrera. No? Okay we're just wasting time that we don't have. I need to speak to Saw Gerrera! I keep telling them before before it's too late. (MILITIA: Keep your heads down! The Imperials will be searching for him…) BODHI: We're out here in the middle of nowhere.We need to get to Jedha City.What part of urgent message do you guys not understand? Hey! we're all on the same side if you just see past the uniform for a minute. I've got to speak to ah... I've got to speak to Saw Gerrera.,BODHI,Is that him?He looks kind of different than I imagined. MILITIA: (On your feet! It’s the pilot the defector) BODHI: Okay so you're-you're Saw Gerrera? Saw Gerrera. No? Okay we're just wasting time that we don't have. I need to speak to Saw Gerrera! I keep telling them before before it's too late. (MILITIA: Keep your heads down! The Imperials will be searching for him…) BODHI: We're out here in the middle of nowhere.We need to get to Jedha City.What part of urgent message do you guys not understand? Hey! we're all on the same side if you just see past the uniform for a minute. I've got to speak to ah... I've got to speak to Saw Gerrera.,True
84,GENERAL DRAVEN:You're currently calling yourself Liana Hallik. Is that correct? Possession of unsanctioned weapons forgery of Imperial documents aggravated assaultescape from custody resisting arrest Imagine if the Imperial authorities had found out who you really were. Jyn Erso? That's your given name is it not? Jyn Erso? Daughter of Galen Erso. A known Imperial collaborator in weapons development. JYN ERSO: What is this? MON MOTHMA: It's a chance for you to make a fresh start.,GENERAL DRAVEN,You're currently calling yourself Liana Hallik. Is that correct? Possession of unsanctioned weapons forgery of Imperial documents aggravated assaultescape from custody resisting arrest Imagine if the Imperial authorities had found out who you really were. Jyn Erso? That's your given name is it not? Jyn Erso? Daughter of Galen Erso. A known Imperial collaborator in weapons development. JYN ERSO: What is this? MON MOTHMA: It's a chance for you to make a fresh start.,True
95,CASSIAN: He'd remember you though wouldn't he? He might agree to meet you if you came as a friend. DRAVEN:We're up against the clock here girl So if there's nothing to talk about we'll just put you back where we found you.,CASSIAN, He'd remember you though wouldn't he? He might agree to meet you if you came as a friend. DRAVEN:We're up against the clock here girl So if there's nothing to talk about we'll just put you back where we found you.,True
101,CASSIAN: There's an Imperial defector in Jedha. A pilot. He's being held by Saw Gerrera. He's claiming the Emperor is creating a weapon with the power to destroy entire planets. The pilot says he was sent by your father. MON MOTHMA: We need to stop this weapon before it is finished. DRAVEN:Captain Andor's mission is to authenticate the pilot's story and then if possible find your father. MON MOTHMA: It appears he is critical to the development of this superweapon. Given the gravity of the situation and your history with Sawwe're hoping that he will help us locate your father and return him to the Senate for testimony.,CASSIAN, There's an Imperial defector in Jedha. A pilot. He's being held by Saw Gerrera. He's claiming the Emperor is creating a weapon with the power to destroy entire planets. The pilot says he was sent by your father. MON MOTHMA: We need to stop this weapon before it is finished. DRAVEN:Captain Andor's mission is to authenticate the pilot's story and then if possible find your father. MON MOTHMA: It appears he is critical to the development of this superweapon. Given the gravity of the situation and your history with Sawwe're hoping that he will help us locate your father and return him to the Senate for testimony.,True
143,GALEN:What's the matter Jyn? You looked frightened.I'll always protect you. Stardust. Don't ever change. LYRA:Trust...,GALEN,What's the matter Jyn? You looked frightened.I'll always protect you. Stardust. Don't ever change. LYRA:Trust...,True
151,CASSIAN: It's 'what are they taking out?' Kyber crystal. All they can get. We wondered why they were stripping the temple now we know.It's the fuel for the weapon. K2-SO: The weapon your father's building.,CASSIAN, It's 'what are they taking out?' Kyber crystal. All they can get. We wondered why they were stripping the temple now we know.It's the fuel for the weapon. K2-SO: The weapon your father's building.,True
196,CITIZEN: Quickly the kyber get it. Here take the kyber. Take the kyber.Come on! CASSIAN: This way!,CITIZEN, Quickly the kyber get it. Here take the kyber. Take the kyber.Come on! CASSIAN: This way!,True
219,STORMTROOPER: He's blind. STORMTROOPER: Is he deaf?,STORMTROOPER, He's blind. STORMTROOPER: Is he deaf?,True
236,CHIRRUT: Can't you see we are no friends of the Empire? MILITIA: (Tell that to the one who killed our men.),CHIRRUT, Can't you see we are no friends of the Empire? MILITIA: (Tell that to the one who killed our men.),True
237,JYN ERSO: Anyone who kills me or my friends will answer to Saw Gerrera. MILITIA: (And why Is that?) JYN ERSO: Because I am the daughter of Galen Erso. MILITIA: (Take them!),JYN ERSO, Anyone who kills me or my friends will answer to Saw Gerrera. MILITIA: (And why Is that?) JYN ERSO: Because I am the daughter of Galen Erso. MILITIA: (Take them!),True
245,BAZE: He's praying for the door to open. CHIRRUT: It bothers him because he knows it is possible. Baze Malbus was once the most devoted Guardian of us all.,BAZE, He's praying for the door to open. CHIRRUT: It bothers him because he knows it is possible. Baze Malbus was once the most devoted Guardian of us all.,True
279,TARKIN: That won't be necessary. We need a statement not a manifesto. The Holy City will be enough for the day. KRENNIC: Target Jedha City prepare single reactor ignition.,TARKIN, That won't be necessary. We need a statement not a manifesto. The Holy City will be enough for the day. KRENNIC: Target Jedha City prepare single reactor ignition.,True
325,BAZE: Chirrut let's go! CASSIAN: [to Bodhi]Come on! Let's get out of here!,BAZE, Chirrut let's go! CASSIAN: [to Bodhi]Come on! Let's get out of here!,True
335,KRENNIC: That was only an inkling of it's destructive potential. TARKIN:I will tell him that I will be taking control over the weapon I first spoke of years ago effective immediately.,KRENNIC, That was only an inkling of it's destructive potential. TARKIN:I will tell him that I will be taking control over the weapon I first spoke of years ago effective immediately.,True
411,JYN: That's ridiculous. We all got the message.Everyone here knows it. K2-SO:One blast to the reactor module and the whole system goes down. That's how you said it. The whole system goes down.,JYN, That's ridiculous. We all got the message.Everyone here knows it. K2-SO:One blast to the reactor module and the whole system goes down. That's how you said it. The whole system goes down.,True
422,BODHI:This way. CASSIAN:I'll be right behind you. Come on.,BODHI,This way. CASSIAN:I'll be right behind you. Come on.,True
