,Characters,Script,Test,Gender,length
0,TITLE CARD, A long time ago in a galaxy far far away....,False,,10
1,QUI-GON,  Captain.,False,Male,1
2,CAPTAIN, Yes sir,False,Male,2
3,CAPTAIN,"  With all due respect for the Trade Federation the
Ambassodors for the Supreme Chancellor wish to board immediately",False,Male,18
4,PK-4," They must be important if the Viceroy sent one of those useless
protocol gearheads to greet them.",False,Droid,17
5,TC-14, I'm TC-14 at your service. This way please.,False,Droid,8
6,TC-14, I'm TC-14 at your service. This way please.,False,Droid,8
7,EG-9, A Republic cruiser! That's trouble...don't you think,False,Droid,7
8,TC-14," I hope you honoured sirs with the most comfortable here. My master
will be with you shortly.",False,Droid,17
9,TC-14," I hope you honoured sirs with the most comfortable here. My master
will be with you shortly.",False,Droid,17
10,OBI-WAN, I have a bad feeling about this,False,Male,7
11,NUTE,  What?!? What did you say,False,Male,5
12,NUTE, They must be dead by now. Blast what's left of them.,False,Male,11
13,TC14, Oh excuse me so sorry.,False,,5
14,OWO-1, Not sure exactly what...,False,Droid,4
15,NUTE, What in blazes is going on down there,False,Male,8
16,NUTE, I want destroyer droids up here at once!!,False,Male,8
17,NUTE, Close the blast doors!!!,False,Male,4
18,RUNE, ...They're still coming through!,False,,4
19,NUTE, Impossible!! This is impossible!,False,Male,4
20,QUI-GON, Destroyer droids,False,Male,2
21,P-59, Switch to bio...There they are!,False,Droid,5
22,OBI-WAN, They have shield generators,False,Male,4
23,RUNE," We have them on the run sir...they're no match for destroyer
droids",False,,12
24,QUI-GON, Battle droids,False,Male,2
25,NUTE, Sir a transmission from the planet,False,Male,6
26,NUTE,"  Again you come before me Your highness. The Federation is
pleased",False,Male,11
27,NUTE, I was not aware of such a failure,False,Male,8
28,AMIDALA, Beware Viceroy....the Federation is going too far this time,False,Female,9
29,RUNE, She's right the Senate will never...,False,,6
30,PALPATINE," ...How could that be true? I have assurances from the
Chancellor...his Ambassaodrs did arrive. It must be
the...get...negotiate...",False,,18
31,AMIDALA, Senator Palpatine?!?  What's happening?,False,Female,4
32,CAPT. PANAKA, Check the transmission generators..,False,Male,4
33,RUNE," ...and there is no trace of the Jedi. They may have gotton onto one
of your landing craft",False,,18
34,JAR JAR, Oh noooooooooo!,False,Male,2
35,JAR JAR,  Hey help me! Help me!,False,Male,5
36,JAR JAR, Oyi mooie-mooie! I luv yous!,False,Male,5
37,QUI-GON, Are you brainless? You almost got us killed,False,Male,8
38,JAR JAR, No...no! Mesa stay...Mesa yous humble servaunt,False,Male,6
39,QUI-GON, I have no time for this now..,False,Male,7
40,JAR JAR,  Oh nooooo! Weesa ganna....,False,Male,4
41,QUI-GON, Stay down!,False,Male,2
42,JAR JAR, ...dieeee!,False,Male,1
43,OBI-WAN, Sorry Master the water fried my weapon.,False,Male,7
44,QUI-GON, You forgot to turn your power off again didn't you?,False,Male,10
45,QUI-GON,"  It won't take long to recharge but this is a lesson I
hope you've learned my young Padawan",False,Male,18
46,JAR JAR,"  Ex-squeeze me but da moto grande safe place would be
Otoh Gunga. Tis where I grew up...Tis safe city.",False,Male,19
47,QUI-GON, A city!  Can you take us there,False,Male,7
48,QUI-GON, You hear that?,False,Male,3
49,QUI-GON,"  That's the sound of a thousand terrible things heading
this way..",False,Male,11
50,QUI-GON, Much farther,False,Male,2
51,JAR JAR,"  My warning yous. Gungans no liken outlaunders. Don't
expict a wern welcome",False,Male,12
52,JAR JAR, Heyo-dalee Cap'n Tarpals Mesa back,False,Male,5
53,JAR JAR, How wude.,False,Male,2
54,BOSS NASS," Yousa cannot bees hair. Dis army of mackineeks up dare tis new
weesong",False,Male,13
55,OBI-WAN, Master whats a bongo,False,Male,4
56,JAR JAR, Daza setten yous up. Goen through da planet core is bad bombin!,False,Male,12
57,OBI-WAN, We are short of time Master,False,Male,6
58,QUI-GON,  What is to become of Jar Jar Binks here,False,Male,9
59,QUI-GON," We need a navigator to get us through the planet's core. I have
saved Jar Jar Binks' life. He owes me what you call a ""life.debt.",False,Male,26
60,QUI-GON, Your gods demand that his life belongs to me now,False,Male,10
61,JAR JAR, Dis is nusen,False,Male,3
62,OBI-WAN, Why were you banished Jar Jar,False,Male,6
63,JAR JAR," Mesa cause-ed mabee one or duey lettal bitty axadentes...yud-say
boom da gasser un crash Der Bosses heyblibber...den banished.",False,Male,18
64,QUI-GON, Full speed ahead.,False,Male,3
65,JAR JAR, Oooops,False,Male,1
66,JAR JAR, Wesa free!,False,Male,2
67,QUI-GON, There's always a bigger fish.,False,Male,5
68,NUTE, The invasion is on schedule My Lord,False,Male,7
69,RUNE, You didn't tell him about the missing Jedi,False,,8
70,OBI-WAN, .....we're losing power.,False,Male,3
71,QUI-GON, Stay calm. We're not in trouble yet,False,Male,7
72,JAR JAR, Monstairs back!,False,Male,2
73,JAR JAR,  Wesa in trouble now?,False,Male,4
74,OBI-WAN, You overdid it.,False,Male,3
75,QUI-GON, Head for that outcropping.,False,Male,4
76,NUTE, Ah victory!,False,Male,2
77,JAR JAR, Wesa dude it!,False,Male,3
78,JAR JAR, Wesa safe now,False,Male,3
79,JAR JAR, What!!?? Oie boie!,False,Male,3
80,JAR JAR,  Iyiiyi wesa die'n here hey!,False,Male,5
81,QUI-GON, Come on...,False,Male,2
82,QUI-GON,  Come on Jar Jar,False,Male,4
83,JAR JAR,  Oie boie...mesa comen. Mesa comen!,False,Male,5
84,OBI-WAN, That was close,False,Male,3
85,BATTLE DROID 3B3, I said drop your weapons,False,,5
86,JAR JAR, Whoa!!!,False,Male,1
87,BIBBLE, ...how will you explain this invasion to the Senate,False,,9
88,JAR JAR, Yousa guys bombad!,False,Male,3
89,QUI-GON," Your Highness we are the Ambassadors for the Supreme
Chancellor",False,Male,10
90,CAPT. PANAKA, They've knocked out all our communications,False,Male,6
